prompt,completion
"A paixão entre os dois começa então a existir , todavia Bella sabe que existe algo diferente em Edward e sua família e isso se comprova em o momento em que ele a salva de um possível atropelamento .",
Começa ai a busca de Bella para desvendar o que seu amado realmente era .,
"Nossa mocinha descobre a verdadeira face de Edward , mas diferente de outras pessoas Bella não fica com medo , por o contrário , quer se aproximar cada vez mais de o vampiro que conquistou seu coração .",
A o aparecerem juntos em a escola o novo casal de namorados- Edward e Bella- causa espanto em todos os alunos .,
"Após muitas aventuras vividas por os dois , Edward convida Bella a participar de um jogo de beisebol com sua família , mas o que ele não imaginava era que por lá apareceriam convidados não muito amigáveis e que a partir de essa visita ele viveria seu pior pesadelo : perder Bella .",
A caça para matar o rastreador e sua companheira torna - se um jogo de vida e morte .,
Bella abandona seu pai usando as mesmas palavras que sua mãe usou quando o deixou e viaja com Alice e Jasper para escapar de James .,
Estando em o hotel Bella recebe uma ligação de James dizendo que ele estava com sua mãe e que caso ela não fosse encontrá - lo ele a mataria .,
"Então ela decide ir até o encontro de o vampiro que estava sedento por seu sangue ; chegando lá viu que a voz de sua mãe era apenas uma gravação e que Reneé estava segura em a Flórida com seu marido Phil , mas agora não havia mais tempo .",
"James a derrubou e quando estava prestes a lhe morder Edward chega e tenta impedir , porém James ainda consegue mordê - la .",
"Quando o veneno a estava transformando Carlisle pede a Edward que escolha se quer que Bella se transforme ou não , Edward , apoiado por Carlisle decide sugar o veneno de o sangue de Bella para que a transformação não aconteça .",
"Já em o hospital , Bella acorda um tanto desnorteada e Reneé está a o seu lado , após conversarem um pouco sua mãe sai de o quarto e Edward em questão de segundos está a seu lado e lhe diz que jamais a abandonará .",
"De volta a Forks , Edward leva Bella a o baile de formatura , o baile que ela não queria ir de jeito algum , mas estando com Edward o baile não era tão ruim assim .",
"Stephenie em os apresenta uma leitura envolvente e encantadora , que prende a atenção de os leitores de o começo a o fim e que deixa sempre um gostinho de quero mais .",leitura
"Bella é uma garota sem graça e destrambelhada , que se muda para uma cidadezinha igualmente sem graça chamada Forks , onde irá morar com seu pai de agora em diante .",
"Desde meus primeiros minutos com Bella , eu percebi que ela era a personificação de a autora e de muitas adolescentes por aí .",
"Em a cabeça de ela , ela não é nada , não possui nenhum atrativo especial , não é bonita , não consegue praticar esportes .",
"Muitas adolescentes querem ser belas e desejadas , apesar de em suas cabeças se enxergarem como feias e comuns .",
"Bella é , para Meyer , a personificação de esse desejo : apesar de se enxergar como feia , ela é imediatamente desejada por os garotos a quem somos apresentados , inclusive o vampiro bonitão .",
"Apesar de não possuir nenhum atrativo especial , ela consegue se destacar em meio a a multidão a os olhos de o estranho Edward Cullen , um de os rapazes mais bonitos de a escola .",
Fica fácil entender de essa forma como a história atrai tantas pessoas .,
"Para uma adolescente , com tantos medos e dúvidas , é muito fácil se encantar com a história de uma menina que , como ela , também não era nada e mesmo assim conseguiu a atenção de o mais belo de a escola ( e aliás , mulheres mais velhas também .",
"Sempre tão bombardeadas com exigências sobre sua aparência , fica fácil se sentir como Bella - muito sem graça ) .",
"Normalmente , chamamos personagens como Bella de "" Mary-sues "" , mas eu decidi ignorar isso durante a minha leitura , pois certamente as coisas ficariam mais agradáveis de essa forma .",
"Eu pessoalmente , detesto mary-sues , mas não vou levar isso em consideração : vejo isso como uma maneira de atrair ainda mais jovens moças .",
"Enfim , continuamos com o nosso romance .",
"Acho que o começo de o livro foi bem feito : a chegada de Bella a a escola foi interessante , fomos apresentados a vários alunos , conhecemos os estranhos Cullen .",
"Logo de cara começa a relação entre os dois , então não teremos enrolação para a história de verdade começar .",
"O início de o relacionamento de Edward e Bella é interessante : existe um certo mistério ( e se eu não soubesse que o livro era sobre vampiros , não ia adivinhar o que ele era ) e uma relação esquisita acaba nascendo entre os dois .",
"Infelizmente , as coisas logo começam a mudar .",
"O maior problema de Crepúsculo , em a minha opinião , não são os vampiros brilhosos , mas a maneira como a narrativa se desenrola durante a leitura .",
"A maior parte de o livro trata de Bella perdida em pensamentos , descobrindo , de maneira tediosa , cada novidade de o esquisito vampiro .",
"Não havia necessidade , por exemplo , de Edward dizer : "" amanhã vou lhe mostrar o que me acontece quando ando em a luz "" ( ou algo assim ) .",
Por que não inserir o fato espontaneamente dentro de um acontecimento casual ?,
"Meyer escreve como se falasse sobre algo , não como se contasse uma história .",
"A maior parte de o livro se resume a acontecimentos banais e sem importância , escritos de maneira tediosa e desnecessária .",
"Mesmo quando Bella é perseguida em a cidade por estupradores a história falha : não temos um acontecimento que possa possivelmente gerar um conflito , qualquer coisa que criei uma tensão entre Bella e Edward ( como Edward perdendo o controle e atacando os estupradores ) .",
"Temos , em a verdade , uma cena desperdiçada , que só serviu para Edward aparecer como o príncipe de o volvo prata e salvar a donzela em perigo .",
"Não posso dizer que , até os últimos capítulos ( quando James chega ) , eu estava lendo uma história de verdade .",
A narrativa torna - se tão banal que não justifica o livro : eu podia jurar que eu estava lendo uma redação de adolescente sobre ela e seu novo namorado vampiro .,
"Voltamos a os trilhos quando Bella conhece os Cullen e , com a chegada de James e seu bando , eu me senti novamente dentro de uma história .",
Me pareceu até injusto que não havia mais páginas para retratar o que ia a se seguir .,
A maneira como Meyer articulou a habilidade de Alice para gerar confusão foi fantástica e Bella ganhou uns pontos com mim por sua coragem em o final .,
"Em o fim , eu realmente não gostei de o livro .",livro
"O final salvou um pouco , principalmente com a chegada de personagens interessantes como Alice e Jasper , mas a maior parte de o livro se resume A A uma narrativa lenta e desinteressante .","final
narrativa"
"E. para não deixar passar , não acho que os vampiros de o livro são ruins .",
"Muitas criaturas são modificadas o tempo todo , e vampiros tentando levar uma vida normal são uma fonte interessante de conflitos .",
Já o fato de brilharem eu não gostei .,
"Acho que essa é uma de as características que definem vampiros , mas estou fazendo um esforço pra aceitar essa fantasia .",
.. .,
.. .,
descoberta ...,
foi com CREPÚSCULO que descobri que gostava de ler ... depois de escrever ... E ler mais ainda .,CREPÚSCULO
Tenho horror de os filmes mas um amor maluco por os livros .,
0.0,
"Sinceramente , se a saga se resumisse apenas á esse livro , seria excelente , porque esse foi o único livro de a saga que eu gostei , tem um ar sombrio e um mistério que envolve todo o enredo de a história , é uma boa história que prende o leitor de o começo a o fim .","livro
livro"
"Devo dizer que tinha preconceito em relação a série Luz e Escuridão , porém a leitura de o primeiro livro me fez perceber o quanto eu estava errada e que agora irei ler os próximos livros .",
"Como toda boa adaptação , o livro crepúsculo simplesmente é péssimo ... mas isso se dá em relação a qualquer livro levado a o cinema .",livro
São poucos e raros os que se salvam .,
"Por fim , devo dizer que recomendo a leitura .",
"Muitas pessoas criticam a Saga Crepúsculo sem a o menos terem lido , só por o fato de falar vampiros .",
"A Saga Crepúsculo foi um de os únicos livros que eu li , que acabei sentindo um prazer enorme !",
A historia e muito boa e contada de uma maneira muito interessante .,historia
Já li todos os livros de a saga inclusive o Sol da Meia-Noite ( nunca chegou a se lançado ) .,
Crepúsculo,
"Primeiro livro de a saga crepúsculo , um romance que quebra todas as regras de a realidade , a jovem garota que se muda para a cidade de Forks , onde vai morrar com seu pai .",
"Bella se encontra em um novo colégio , a Forks High School , lá ela faz novos amigos e em esse tempo ela se apaixona por o mais belo rapaz , Edward , em meio a convivência com Edward , Bella descobre que ele é um vampiro , mas mesmo sabendo de os riscos que está correndo , ela insisti em continuar a o seu lado .",
"Um belo romace escrito por Stephenie Meyer , recomendo a todos que amam romances com um pouco de ficção .",
Resenhas Crepúsculo,
Crepúsculo poderia ser como qualquer outra história não fosse um elemento irresistível : o objeto de a paixão de a protagonista é um vampiro .,
"Assim , soma - se a a paixão um perigo sobrenatural temperado com muito suspense , e o resultado é uma leitura de tirar o fôlego - um romance repleto de as angústias e incertezas de a juventude - o arrebatamento , a atração , a ansiedade que antecede cada palavra , cada gesto , e todos os medos .",
Isabella Swan chega a a nublada e chuvosa cidadezinha de Forks - último lugar onde gostaria de viver .,
"Tenta se adaptar a a vida provinciana em a qual aparentemente todos se conhecem , lidar com sua constrangedora falta de coordenação motora e se habituar a morar com um pai com quem nunca conviveu .",
Em seu destino está Edward Cullen .,
"Ameii o primeiro livro .... Bella Swan muda - se de a ensolarada Phoenixpara a chuvosa cidade de Forks , Washington , para viver com seu pai , Charlie , o chefe de a polícia local .",livro
A chegada de Bella a Forks desperta imensa curiosidade em toda a gente .,
"Em a escola , Bella conhece vários colegas logo em o primeiro dia de aulas e torna - se amiga de Mike , Jessica , Angela , Eric e Tyler .",
"Bella depressa descobre como seria monótona e entediante a sua vida em Forks , caso Edward Cullen , o misterioso rapaz que se senta a seu lado em a aula de Biologia , não lhe despertasse tanta curiosidade e servisse de escape a a sua rotina diária .",
"Em o primeiro dia que ela o vê , Edward aparenta sentir repulsa por ela , chegando mesmo a tentar mudar os seus horários para evitá - la , pois seu cheiro era muito tentador para ele .",
"Com um tempo ela acaba descobrindo por seu amigo Jacob Black , de a tribo Quileute , que Edward e a sua família ( os Cullen ) são vampiros mais eles não se alimentam de sangue humano .",
"Edward e Bella passam muito tempo juntos , e ficam cada vez mais apaixonados e com isso acontece muito aventuras quando Edward começa a fazer parte de a vida de ela , pois Bella não é vampira .",
5.0,
"É um bom livro , bem melhor de o que o filme !",livro
0.0,
Li Crepúculo com um sacrifício enooooorme .,Crepúculo
E em o final cheguei a mesma conclusão que já tinha : Terrível !,
Lixo Lixo,
"Achei totalmente absurdo ... Cara eu lii o livro todo , mais não aguentei foi o vampiro brilhar a luz de o dia !","livro
o
vampiro
brilhar
a
luz
de
o
dia"
Isso foi o que estragou o livro .,"Isso
livro"
"Nem li o resto , embora vii os filmes , até o lobisomem ficou mais perfeito de o que o vampiro em esse livro .",
O surto mental de a Stephenie Meyer me surpreendeu !,
> .,
Só p/ adolescente mesmo,
"O livro é exatamente com o filme , uma replica .",
"Achei os dois super chatos , e creio que ´ so mesmo adolescentes p/ sentirem um extase tremendo a o ler ou assistir .",
Blog Amados Livros :,
http://amadoslivros.blogspot.com/2010/10/crepusculo-autor-stephenie-meyer.html,
"O primeiro livro de a série é bem divertido , uma leitura despretensiosa .","livro
leitura"
É um ótimo companheiro para aquele tempo livre que precisamos que passe rápido .,
"Em o começo , demora para engrenar , mas depois de as primeiras páginas , a leitura flui gostosa .","começo
leitura"
Os outros livros de a série exploram um tema que acaba sendo esgotado já em o primeiro .,
"Crepúsculo , um sucesso juvenil ... por que ?",
"Bem , tenho que admitir : quando assisti a o primeiro filme de a saga , o romance de Edward e Bella me encantou .",
"Gostando de o filme , busquei o livro e achei super fofa a relação entre esse casal tão inusitado , portanto parti pro segundo e ... Não , vamos falar de o primeiro que é o livro em questão .",
"Crepúsculo é um livro passável , em a verdade .","Crepúsculo
livro"
"O que encanta é que , mesmo sem querer , você acaba se identificando com a Bella por que , cara , a menina tem todos os problemas e traumas que existem em a face de a Terra !","Bella
menina"
Uma hora ou outra ela acaba por tocar em o seu ponto fraco .,
"Tah , ok , mas por mais que eu tenha me identificado com Bella Swan , a partir de certo ponto de o livro comecei a cansar de ela .",Bella
"Cara , que menina tediosa !",menina
"Ela nunca está feliz , nunca está satisfeita ( a não ser que esteja a o lado de Edward , claro .",
") , anti-social até a alma e completamente sem graça .",
Gostei cada vez menos de ela com o passar de os demais livros .,
"E Edward ... bem , digamos que seja bonitinha essa sua paixão por a Bella e que ela nos encanta .",
Mas também acaba por enjoar a partir de certo ponto .,
Venhamos e convenhamos : um romance de quatro livros ?,
Ninguém suporta tanta melação !,
"Tem que ter um algo mais , alguma coisa além de as palavrinhas melosas de um para com o outro e coisa e tal .",
"Em o quesito romance ... bem , é um romance bonito , apelativo e que acaba por chamar a atenção .",romance
"Mas o enredo é pobre e as lendas e mitos quanto as criaturas sobrenaturais usadas em a saga foram pobremente exploradas , dando a os vampiros uma imagem muito próxima de "" seres humanos com super poderes e pele gelada "" .","enredo
lendas
e
mitos
quanto
as
criaturas
sobrenaturais"
Edward não é um vampiro ... ele é o namorado perfeito .,
"E eu , como uma admiradora de essa criatura de o submundo , fiquei decepcionada a o ver que nenhum de os vampiros criados por Meyer se enquadrava em os quesitos básicos pra um sugador de sangue .",
Mas voltando a o tema de a resenha : por que Crepúsculo faz tanto sucesso entre as jovens ?,
"Simples , muito simples .",
"Elas não tem maturidade pra sentir a ausência de pontos importantes em a saga de Meyer , se vêem em a personagem central e desejam um vampiro romântico como um namorado , um vampiro que possa te tirar de sua vida tediosa e te carregar em as costas enquanto escala árvores .",
"Sinto muito , muito mesmo , não gosto de criticar o trabalho de ninguém por saber que deve ser muito trabalhoso escrever um livro , mas ... venhamos e convenhamos : Meyer poderia ter feito melhor , não é ?",
""" Eu estou incondicional e irrevogalmente apaixonado por o livro """,livro
"Um livro muito legal , que não tenho como não falar de a abordagem brilhante de a autora , assim como entrelaçamento de os personagens e a precisão de ela a o relatar os fatos de o ponto de Bella , para mim , os diretores de filmes que vieram de livros não explorem e deixe como se fosse um nada que se constrói sozinho , mas voltando a o livro , ela deu o mistério envolvente que só um livro de esse tipo merece , só tenho uma reclamação , mas não é muito importante , eu notei uma auto-estima abaixo de zero de Bella , e isso só piora quando ela encontra Edward Cullen , "" ele é tudo , eu sou nada "" não com essas palavras , era isso que ela queria falar em o livro , mas , fora isso , eu não tenho nada a reclamar de Crepúsculo e os outros livros de a saga serão ainda melhores !","livro
Crepúsculo"
CREPÚSCULO poderia ser como qualquer outra história não fosse um elemento irresistível : o objeto de a paixão de a protagonista é um vampiro .,
"Assim , soma - se a a paixão um perigo sobrenatural temperado com muito suspense , e o resultado é uma leitura de tirar o fôlego - um romance repleto de as angústias e incertezas de a juventude - o arrebatamento , a atração , a ansiedade que antecede cada palavra , cada gesto , e todos os medos .",
Isabella Swan chega a a nublada e chuvosa cidadezinha de Forks - último lugar onde gostaria de viver .,
"Tenta se adaptar a a vida provinciana em a qual aparentemente todos se conhecem , lidar com sua constrangedora falta de coordenação motora e se habituar a morar com um pai com quem nunca conviveu .",
Em seu destino está Edward Cullen .,
"Ele é lindo , perfeito , misterioso e , a a primeira vista , hostil a a presença de Bella o que provoca em ela uma inquietação desconcertante .",
Ela se apaixona .,
"Ele , em o melhor estilo "" amor proibido "" , alerta : Sou um risco para você .",
Ela é uma garota incomum .,
Ele é um vampiro .,
Ela precisa aprender a controlar seu corpo quando ele a toca .,
"Ele , a controlar sua sede por o sangue de ela .",
"Em meio a descobertas e sobressaltos , Edward é , sim , perigoso : um perigo que qualquer mulher escolheria correr .",
E então o leão se apaixonou por o cordeiro !,
Cheguei a esse livro através de minha mãe .,
"É ... ela comprou o filme , pq uma amiga de ela indicou .",
"Pode até parecer mentira , mais é pura verdade .",
Continuando : Nós assistimos a o filme .,
Minha mãe não se agradou e eu muito menos .,
Me senti incomodada .,
Sabe aquela coisa de achar que tem algo faltando ?,
"Resolvi comprar o livro , pq não gosto de me sentir insatisfeita .",
Li em Três dias !,
E quer saber ?,
Adorei !,
"A o contrario de o filme , o livro me envolveu com sua história .",livro
Compreendi melhor a personalidade de Edward e a demencia de Bella - em o bom sentido - .,
Um de os piores livros de a vida ...,livros
Realmente um de os piores livros que já li ... só perde para os livros de a própria sequência ... lamentável ... como é possível alguém gostar de um livro que não fala sobre nada ... um romance ridículo de criança mesmo .... um livro totalmente infantil ... Obs .,"livros
romance
livro"
": Não leia achando que é um livro sobre Vampiros ou Lobsomens , pois não tem nada haver ... vampiros e lobsomens são coadjuvantes , em esta história ridícula .",história
perfeito !,
"O melhor livro que ja li ... simplismente ameiiiii ... alias todos de a serie são otimos ... o segundo eu não gostei muito porque ele some quase o livro todo ai vem a parte de aquele lobo , não gosto de ele nem pra banho ... fora isso os livros de esta serie é a melhor que ja li ....",livro
Crepúsculo,
"Gostei de o livro assim como de o filme , só achei um pouco meloso demais a indecisão de o casal ( Bella e Edward ) em relação a o seu namoro ; acho que eles deviam fazer o que tinham que fazer logo , e não ficar atrasando as melhores partes de o livro .","livro
indecisão
de
o
casal"
"Gostei principalmente de a luta em o final em que Bella por pouco não se transforma em vampira , gosto de ação , por esse motivo para mim foi a melhor parte de o livro .","a
luta
em
o
final"
Crespúsculo,
""" Fenômeno "" é a palavra mais adequada para essa série .",
"Se é boa ou não , vai de cada leitor .",
"Talvez a principal diferença , segundo penso , é a abordagem distante de as histórias vampirescas promíscuas e sanguinolentas .",
"Certo , certo , é um grande mamão com açucar ; em o entanto , encanta por o propósito final , fortalecer relações com base em o amor e não somente em o sexo .",
"Sthepenie Meyer não é nenhum Zafon , mas seu texto é pegajoso até o final .","Sthepenie
Meyer
texto"
"O livro não é sobre vampiros , é um romance que tem vampiros .",
De aí a grande decepção de alguns aficcionados por livros de suspense .,
"Em relação a os críticos , são adultos demais para perceber a beleza de a inocência , e crianças demais para compreender a complexidade de o amor .",
Pode ser só uma opinião ?,
"Achei a série toda bem água com açúcar , é meio boba .",
"O último livro , conforme esperado , é o melhor ... Esperava algo mais ... Mais Anne Rice de a vida .",
"Terminei de ler porque nunca largo uma série em o meio mas ... Bom , é bem juvenil .",
"Primeiramente , não sou fã de a série .",
Histórias de vampiro nunca me chamaram a atenção e romance também não é meu tipo preferido .,
"Apesar de ter ação , é um romance bem ' água com açúcar ' e bem meloso .",romance
"Queria fazer uma resenha tentando elogiar o livro , mas a verdade é que eu não sei dizer qual de os três que eu li é o mais chato .",
Cada um a a sua maneira,
Crepúsculo é um romance de o qual eu gosto bastante .,"Crepúsculo
romance"
Primeiro porque eu GOSTO de romances .,
"Depois porque adoro narrativas em 1ª pessoa , tornam a história mais real pra mim .",
"E também porque gosto de leituras que não se prendem muito a o real ; realidade demais tira a graça de a coisa , A as vezes .",
"Em o início estranhei um pouco a , como dizem por aí , "" humanização "" de os vampiros de a Meyer .",
"Mas vamos combinar que o livro é de ela , e ela pode usar de os elementos que preferir para dar mais movimento a a trama .",
"Seria repróvável se ela inovasse como fez e depois saísse por aí se sentindo a Anne Rice de o futuro , coisa que ela não fez .",
"Crepúsculo é um ROMANCE ( e corro o risco de me repetir a o reafirmar isto ) , e como tal tem vários itens que tornam a saga mais sedutora : o amor proíbido , os inimigos ferozes , e claro , a descrição de o amor de o casal .",
"descrição esta que , seja Charlote Brontë ou Charles Dickens , é inovadora sempre , cada escritor a a sua maneira .",
"Se a Bella Swan está mais pra Gata Borralheira de o que pra princesa , e se os vampiros de a saga brilham a o sol , para mim são apenas créditos particulares a a escritora .",
Me encantei a cada novo capítulo .,capítulo
Esperava mais .,
"O livro realmente só começou a prender minha atenção de a metade para o final , em que Edward e Bella começam a viver a paixão proibida .",livro
"São os reflexos de ter lido o livro depois de ter assistido a versão cinematográfica , acho .",
"Esperava um pouco mais de o livro , não em o sentido de a história ou sobre o enredo ... refiro - me a o conteúdo sobre os vampiros .. Buscava novas informações , as antigas tradições e até um pouco mais de sedução .",livro
"Respeito a criatividade de a autora , mas confesso que fiquei desapontada em relação a o comportamento de Edward .","comportamento
de
Edward"
"Recomendo a o público jovem que sonha e idealiza amores perfeitos .... Em o entanto para os fãs de os vampiros sexies e misteriosos de a idade média , recomendo passarem bem longe .",
Excelente !,
Amei esse livro !,livro
Realmente fiquei surpreendida !,
Comprei o livro em o ano passado .,
"Em uma segunda feira fui a a livraria e comprei meio em o escuro , por a opinião de a vendedora de a loja .",
De aí li em dois dias .,
Em a quarta voltei e comprei o Lua Nova .,
Pronto li em dois dias .,
Depois voltei e comprei o Eclipse !,
"Nossa , leitura fascinante !",leitura
"Fiquei então aguardando o lançamento de Amanhecer , que naquela época ainda não havia sido lançado .",
"Comprei em a pre-venda e , quando chegou , devorei o livro !",!
Recomendadíssimo !,
"Unico , Perfeito !",
Não tem como explicar o sentimento que me vêm quando eu leio e re-leio ... O início de tudo .,
E um amor doído intenso perfeito é desejado .,
Tisc ... tisc ...,
Frequentemente eu me decepciono com best-sellers .,
Talvez por conta de as expectativas criadas sobre obras já muito comentadas .,
"E isso aconteceu novamente , com Crepúsculo .",
A história se desenrola sem praticamente nenhuma ação .,história
Há poucos acontecimentos relevantes .,
"A protagonista , várias vezes , me irritou , mostrando - se um tanto depressiva , queixando - se de tudo , o tempo todo .",protagonista
"A autora usa algumas repetições que aborrecem , como dizer o quanto o vampiro é perfeito - de duas em duas páginas .",repetições
"Durante todo o livro , esperei que algo acontecesse , e quando aconteceu - um vampiro caçador persegue a protagonista - , a história acabou .",
Não lerei as continuações de esta saga .,
"Acredito que o(s) filme seja mais dinâmico , até por força de a concisão .",
Então acompanharei por meio de ele .,
Quem sabe a linguagem audio-visual compense a carência literária .,
MEMORIA,
Um romance lindo que despertou meus sonhos mais românticos .,romance
"Incrível , comovente e pertubador o poder que um livro pode ter sobre a minha mente .",livro
"CHorei e ri , e ansiosamente , inicio a leitura de o próximo .",
Livro perfeito,Livro
"1-Introdução : aproveitando estar em o meio de o livro , eu continuei a ler ocrepusculo de a autora Stephenie Meyer , que escreveu quatro livros ( Crepusculo , Lua Nova , Eclipse e Amanhecer ) , Deixando o famoso Harry Potter para traz !",
"2-Dados Biográficos de a autora : Stephene Meyer , se formou em literatura inglesa , escrevendo quatro livros .",
"Tornou - se uma autora mudialmente conhecida , escrevendo seus livros de romance adolescente .",
"3-Resumo : CREPÚSCULO , é um romance proibido sobre uma menina Isabella Swan , mais conhecida com Bella , e o vampiro Edward Cullen !",
"O romance acontece em a cidade de Forks , em o sul de o Estado de Washington em os Estados Unidos da America e Bella Conhece Edward em sua escola nova , como seu parceiro de Biologia , mas o menino não fala absolutamente nada !",
"Em algumas aulas , Edward não aparece , então Bella jah fica preocupada , com o que esta acontecendo !",
"Algumas aulas depois Edward volta para escola e não suporta ficar perto de Bella , porque , ele fica com vontade de "" sugar o seu sangue "" e então começa toda a historia entre os dois ... 4- Crítica : eu gostei muitoooo de crepusculo , porque é o genero q eu gosto , um romance com suspense , e isso ficou muito interessante para mim !",crepusculo
Resenha Critica de ' Crepúsculo ',
"Essa historia emocionante , de um romance proibido , que envolve o sobrenatural , e as dádivas de um primeiro amor e que mistura romance e ficção em uma combinação perfeita .","historia
romance
ficção"
"Escrito por Stephenie Meyer , que se formou em literatura inglesa , Crepúsculo vendeu mais de 25 milhões de exemplares em todo mundo , ficou em primeiro lugar de a lista de os mais vendidos de o New York Times e é melhor livro de a década segundo a Amazon.com .",
Bella Swan uma garota que se muda para chuvosa e nublada cidadezinha de Forks .,
"Tendo que se adaptar a o novo colégio , em o seu primeiro dia em a escola ela repara em os Cullens uma família extremamente pálida e diferente com qual ninguém convive , em essa família que Bela repara em Edward Cullen um garoto com olhos dourados e cabelo de bronze .",
"Bela depois descobre que Edward e seu novo colega de aula de biologia , ele se comporta de uma maneira estranha em a aula .",
Ela fica intrigada e resolve descobrir qual e o seu problema .,
Quando bella quase e atropelada por o uma van Edward a salva com uma rapidez e uma força desumana .,
"Isso deixa Bella ainda mais intrigada e ela esta disposta a descobrir o segredo obscuro de Edward , mais ela se vê irrevogavelmente apaixonada por ele .",
"Edward e Bella se aproximam e ela descobre que ele e sua família são vampiros , Edward que também esta loucamente apaixonado por Bella , sabe que ela corre um risco mortal ficando com ele porque a cada minuto ele deseja mais o seu sangue , Edward não se alimenta de sangue Humano mais pode não resistir e machucar Bella .",
"Bella não se importa que Edward seja vampiro e nem que corra um risco mortal , então os dois vivem um romance emocionante , cheio de mistério , fantasia e aventura .",romance
Eles estão dispostos a viver uma eternidade juntos .,
"Este livro maravilhoso nos envolve em uma historia de amor , queé impossível largar antes de o fim .",livro
Um bom começo .,
"Uma febre , pakas interessante por mesclar tantas sensações em uma mesma história : Romance , ação , suspense , mistério , sobrenatural , vexx etc ....",
Fraquissimo,
"Escritora amadora , livro muito fraco onde os personagens são estáticos , estória cliche e fraca e uma repetição enorme de palavras .","livro
personagens
estória"
"Adoravelmente apaixonante uma linda estória de amor entre um vampiro lindo e de o bem com uma desastrada humana - poderia ser menos meloso , mas em o geral é diferente e interessante",estória
4.0,
"Olha , não sei porque mas essa historia me agradou .",
"Achei ela fraca , mas emocionante , mau escrita , mas eu gostei .",ela
: ) RECOMENDO .,
5.0,
Não é a toa tudo o que dizem A A respeito de esse livro .,
Apaixonante !,
Apaixonante !,
Crepúsculo é um livro sem comparação ... Um livro q quando vc começa nao para mais de ler .. e envolvente !,Crepúsculo
É UNICO E VICIANTE !,
Crepúsculo,
Bom particularmente como admirador de histórias de vampiros achei extremamente fraco .,
Primeiramente um vampiro que é quase vegetariano não morde ninguém hehe !,
Achei meramente comum meloso e chato tecnicamente é mal escrito geralmente histórias de vampiros tem um certo tom de suspense e misticismo acho o romance entre os dois muito mal explorado .,
Decepcionante .,
"História clichê , recheada de coisas impossíveis até em o mundo de o maravilhoso , escrita péssima , personagens mal-construídos e alienados .","História
escrita
personagens"
"Um vampiro brilhante que lê mentes , uma heroína estúpida , metida a perfeitinha e solitariamente rodeada de pessoas .",
"Personagens secundários que não se desenvolvem nunca , metáforas cansativas e totalmente sem nexo .",
"Romancezinho adolescente água-com-açúcar , ridículo .",Romancezinho
"Mostra claramente a falta de direção de a geração atual por a tal "" febre "" mundial .",
Que falta Bram Stoker faz em essas horas .,
Claustrofóbico !,
""" Os dois objetivos de o partido são : primeiro , conquistar toda a superfície de a Terra , segundo , extinguir de uma vez por todas a possibilidade de pensamentos independente .",
"Assim , há dois grandes problemas que o Partido se preocupa em resolver .",
"Um é como descobrir o que um ser humano está pensando , a a revelia de ele ; outro é como matar várias centenas de milhões de pessoas em poucos segundos sem aviso prévio .",
""" Assustador , aterrorizador e sombrio . """,
"1984 "" é uma obra que choca e causa certo pavor e desconforto em o leitor , já em as primeiras páginas .",1984
"Não há esperanças de um futuro colorido , tudo é cinza , frio e com gosto ruim , A liberdade não existe , a todo o momento as pessoas vivem sobre a supervisão de a teletela , uma espécie de aparelho que vigia até o suspiro de o ser humano .",
"O Estado vigia e controla a vida de as pessoas em cada mínimo detalhe , desde a roupa que se veste até a ração diária que se come .",
"O pensamento também é constantemente analisado e vigiado por o Estado , cujas teletelas estão instaladas até mesmo dentro de suas casas , e , é através de estas teletelas que os "" Dois minutos de o ódio "" , um programa cujo único objetivo é incitar o ódio a qualquer coisa que se oponha a o Estado é passado .",
"A sociedade vive e é dirigida por os lemas de o Estado , que são : Guerra é Paz ; Liberdade é Escravidão ; Ignorância é Força .",
"É em essa base que o autor criou uma obra densa , angustiante e reflexiva , com frases impactantes , carregadas de sarcasmo e medo .",obra
Escrito em 1949 o livro todo é uma crítica explícita a o totalitarismo governamental .,
"1984 "" narra a a possibilidade de existir um poder totalitário capaz de limitar as ações e os pensamentos de toda uma população , com um universo alternativo , modificado de acordo com os interesses de o Estado , de acordo com o Poder que o Estado e o Partido Interno desejam .",
"Em este "" novo mundo "" , o Partido conseguiu modificar de forma absoluta todos os conceitos geopolíticos , econômicos e culturais , de todo continente americano , tal como conhecemos em os dias de hoje .",
"É verdadeiramente um "" mundo novo "" , que nos faz lembrar de a nossa sociedade em os tempos atuais , quando o autor cita a potencial força de os proletariados e a alienação passiva de estes a os sistemas políticos , o que nos faz lembrar o modelo de política atual ( politicagem ) e a massa alienada de hoje , sem cultura , sem conseguir pensar e perceber a força que possui para mudar todo o cenário atual .",
"Diferentemente de "" Admirável Mundo Novo "" , de Huxley , que aborda também um mundo alienado , George Orwell escreveu uma obra mais impactante , de tirar o fôlego de o leitor , mas não por prazer , e sim , por medo .",obra
Leitura recomendada !,
É de tirar o fôlego,
"Embora eu tenho achado ele um pouco repetitivo , por sempre ver Orwell batendo em a mesma tecla para explicar o quadro político de a estória , isso acaba nos fazendo se sentir exatamento como o protagonista , cheios da aquilo tudo , enjoados de a cegueira de o povo e a falta de escrúpulos de o governo .",
"E se por acaso você se sentir como eu em algumas partes , NUNCA para de ler ( embora eu nunca tenha sentido esta vontade e não acredite que isso se despertará em algum leitor ) .",
"O final de este livro é extremamente compensador , é o que trará sentido a todo o restante de o livro .",final
